Batch No:0
Requestid				T									D
[636]				15.3771911528									0
[637]				13.1787105976									0
[638]				17.5116190154									0
[639]				17.3011691429									0
[640]				20.5600337032									0
[641]				22.9171855706									0
[643]				19.9429025532									0
[642]				32.5936700672									7.87512648165
[644]				27.4818123444									5.09564052708
[646]				23.0821685734									0
[645]				32.1070693181									10.3455368819
[647]				17.9688486194									0
[648]				20.9805465667									0
[649]				23.5436112524									0
[650]				15.9729287753									0
[651]				20.1178418712									0
[652]				21.8488507376									0
[653]				23.6356184951									0
[654]				6.16172253489									0
[655]				10.3382447331									0
[656]				8.95181490909									0
[657]				5.46300506618									0
[658]				5.0									0
[659]				9.99372130857									0
[660]				5.0									0
[661]				7.75232689525									0
[662]				5.0									0
[663]				5.0									0
[664]				6.72327410925									0
[665]				5.0									0
[666]				5.0									0
[667]				7.50831598119									0
[668]				5.0									0
[669]				5.77896066784									0
[670]				5.0									0
[671]				5.0									0
[672]				5.0									0
[673]				8.95881232302									0
[674]				9.86509209843									0
[675]				14.8578225515									0
[676]				10.4706777219									0
[677]				6.6132004749									0
[678]				5.0									0
[679]				9.73520719573									0
[680]				10.1378809396									0
[681]				11.2305078303									0
[682]				15.4669438894									0
[683]				19.1087461698									0
[684]				5.0									0
[685]				5.0									0
[686]				8.36775433364									0
[687]				5.0									0
[688]				5.0									0
[689]				7.08414389314									0
[690]				5.87484498068									0
[691]				9.31439194855									0
[692]				12.395157929									0
[693]				17.334304007									0
[694]				15.9203472352									0
[695]				15.6951850444									0
[696]				12.533494056									0
[697]				13.3290397821									0
[698]				14.9048951378									0
[699]				17.7096098605									0
[700]				14.7343693933									0
[701]				16.9354838783									0
[702]				16.4862623123									0
[703]				12.9827764944									0
[704]				14.4551050584									0
[705]				12.5022246598									0
[706]				17.1210730395									0
[707]				20.3105576858									0
[708]				14.2912193406									0
[709]				18.3340569818									0
[710]				22.9829800097									0
[711]				27.8954856126									3.62527448898
[712]				24.1784106291									0
[713]				25.7163154283									3.23723741898
[714]				20.9717539935									0
[715]				21.5456851678									0
[716]				26.3950225264									7.29208905315
[717]				21.8787939266									0
[718]				21.017678747									0
[719]				15.213586716									0
[720]				14.5010065559									0
[721]				11.9480804719									0
[722]				5.52627112713									0
[723]				5.0									0
[724]				9.8770893419									0
[725]				5.0									0
[726]				5.0									0
[727]				8.65119396781									0
[728]				13.2410624008									0
[729]				15.7483539254									0
[730]				20.1152861766									0
[731]				22.3492329843									0
Batch No:2
Requestid				T									D
[732]				26.7886530541									2.81545351406
[733]				30.2964117815									6.52427668227
[735]				30.2028497932									5.84344604268
[734]				38.1563019731									16.2381419356
[736]				26.7095444874									2.57601551265
[737]				30.2415992759									5.80202603318
[739]				22.8861733087									0
[740]				20.9942567478									0
[741]				17.3626977077									0
[738]				46.6436780525									25.9818631064
[742]				12.4184826543									0
[743]				7.96704485052									0
[744]				9.7389698168									0
[745]				8.27038799816									0
[746]				6.82822001459									0
[747]				5.0									0
[748]				5.0									0
[749]				6.48445062102									0
[750]				10.2145426285									0
[751]				12.8343520829									0
[752]				16.1054488863									0
[753]				14.2329108789									0
[754]				10.430666725									0
[755]				14.1509074136									0
[756]				14.5762694931									0
[757]				8.57049074987									0
[758]				10.8397596483									0
[759]				15.2427779209									0
[760]				14.6604072994									0
[761]				16.9602091235									0
[762]				21.0282384169									0
